Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Trp-Dbl
1984-85,21,CHI,NBA,SG,82,82,3144,837,1625,0.515,9,52,0.173,828,1573,0.526,0.518,630,746,0.845,167,367,534,481,196,69,291,285,2313,,3
1985-86,22,CHI,NBA,SG,18,7,451,150,328,0.457,3,18,0.167,147,310,0.474,0.462,105,125,0.84,23,41,64,53,37,21,45,46,408,,0
1986-87,23,CHI,NBA,SG,82,82,3281,1098,2279,0.482,12,66,0.182,1086,2213,0.491,0.484,833,972,0.857,166,264,430,377,236,125,272,237,3041,,0
1987-88,24,CHI,NBA,SG,82,82,3311,1069,1998,0.535,7,53,0.132,1062,1945,0.546,0.537,723,860,0.841,139,310,449,485,259,131,252,270,2868,,2
1988-89,25,CHI,NBA,SG,81,81,3255,966,1795,0.538,27,98,0.276,939,1697,0.553,0.546,674,793,0.85,149,503,652,650,234,65,290,247,2633,,15
1989-90,26,CHI,NBA,SG,82,82,3197,1034,1964,0.526,92,245,0.376,942,1719,0.548,0.55,593,699,0.848,143,422,565,519,227,54,247,241,2753,,1
1990-91,27,CHI,NBA,SG,82,82,3034,990,1837,0.539,29,93,0.312,961,1744,0.551,0.547,571,671,0.851,118,374,492,453,223,83,202,229,2580,,0
1991-92,28,CHI,NBA,SG,80,80,3102,943,1818,0.519,27,100,0.27,916,1718,0.533,0.526,491,590,0.832,91,420,511,489,182,75,200,201,2404,,2
1992-93,29,CHI,NBA,SG,78,78,3067,992,2003,0.495,81,230,0.352,911,1773,0.514,0.515,476,569,0.837,135,387,522,428,221,61,207,188,2541,,4
1994-95,31,CHI,NBA,SG,17,17,668,166,404,0.411,16,32,0.5,150,372,0.403,0.431,109,136,0.801,25,92,117,90,30,13,35,47,457,,0
1995-96,32,CHI,NBA,SG,82,82,3090,916,1850,0.495,111,260,0.427,805,1590,0.506,0.525,548,657,0.834,148,395,543,352,180,42,197,195,2491,,0
1996-97,33,CHI,NBA,SG,82,82,3106,920,1892,0.486,111,297,0.374,809,1595,0.507,0.516,480,576,0.833,113,369,482,352,140,44,166,156,2431,,1
1997-98,34,CHI,NBA,SG,82,82,3181,881,1893,0.465,30,126,0.238,851,1767,0.482,0.473,565,721,0.784,130,345,475,283,141,45,185,151,2357,,0
2001-02,38,WAS,NBA,SF,60,53,2093,551,1324,0.416,10,53,0.189,541,1271,0.426,0.42,263,333,0.79,50,289,339,310,85,26,162,119,1375,,0
2002-03,39,WAS,NBA,SF,82,67,3031,679,1527,0.445,16,55,0.291,663,1472,0.45,0.45,266,324,0.821,71,426,497,311,123,39,173,171,1640,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,